Title,Body,Labels,Milestone,Assignees,Status,Priority,Estimate
[M0-01] Research report sign-off and traceability matrix,"## Summary
Walk the validated research report (19/20 claims confirmed, 1 killed) and
produce a one-page traceability matrix mapping each load-bearing claim to the
roadmap milestone(s) that depend on it. Without this, M1–M5 acceptance criteria
are unmoored from primary sources.

## Context
- Research report: `.deliverables/research-report.json` — `result.report` is the
  authoritative spec; `result.claimVerdicts` is the audit trail.
- INDEX.md §""Source-of-truth facts"" must not be contradicted by anything
  downstream.

## Acceptance Criteria
- [ ] AC1 — Given the report, when I open `docs/traceability.md`, then I see a
      table with columns: claim · status (confirmed/killed) · source URL ·
      milestone(s) it backs.
- [ ] AC2 — Every confirmed claim has at least one downstream milestone or an
      explicit ""out of scope"" note.
- [ ] AC3 — The one killed claim (""Anthropic Labs"" framing) is called out with
      the corrected wording from the verifier vote.
- [ ] AC4 — The five honest uncertainties from INDEX.md §""Honest uncertainties""
      are listed with the empirical step needed to settle each.
- [ ] AC5 — Document is reviewed and signed off by the project owner.

## Implementation Notes
- Path: `docs/traceability.md` (new).
- Cross-link every row to the issue number that owns the resulting work item.
- Format: GitHub-flavoured Markdown, no JS-rendered tables.

## Out of Scope
- Re-running the research (the 46-agent run is the input, not the deliverable).
- Updating the report JSON.

## Dependencies
- Blocks: every other M0 issue.
- Blocked by: none.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added (unit + integration as relevant) — N/A (doc only).
- [ ] Docs updated — this issue **is** the doc.
- [ ] Manual verification step run — owner sign-off comment on the PR.
- [ ] No new ESLint/TS errors — N/A.
- [ ] Reviewed by 1 maintainer.","type:docs,area:docs,priority:P0-critical,size:S",M0 — Discovery & Scaffold,,Todo,Urgent,3h
"[M0-02] Initialize repo, MIT LICENSE, governance docs","## Summary
Create `roshangautam/genie` on GitHub, ship MIT LICENSE,
CONTRIBUTING, CODE_OF_CONDUCT, SECURITY.md, CODEOWNERS, and a README that
points at the docs/ tree. This is the legal and social entry point for the
project.

## Context
- INDEX.md: ""License: MIT"", ""Repository: roshangautam/genie"".
- Open-source comparators (`GLips/Figma-Context-MCP`,
  `Jpisnice/shadcn-ui-mcp-server`) both ship the same docset.

## Acceptance Criteria
- [ ] AC1 — Repo exists at `roshangautam/genie`, default branch
      `main`, branch protection on (1 review + status checks required).
- [ ] AC2 — `LICENSE` file is the standard MIT text with year 2026 and
      copyright ""Roshan Gautam"".
- [ ] AC3 — `CONTRIBUTING.md` describes the issue lifecycle, branch naming
      (`type/short-slug`), commit message convention (Conventional Commits),
      and the PR review checklist.
- [ ] AC4 — `CODE_OF_CONDUCT.md` adopts Contributor Covenant 2.1 verbatim.
- [ ] AC5 — `SECURITY.md` documents the disclosure address
      (`security@roshangautam.com`) and the 90-day responsible-disclosure
      window.
- [ ] AC6 — `CODEOWNERS` makes `@roshangautam` the global owner.
- [ ] AC7 — `README.md` includes the one-paragraph elevator pitch, badge row
      (CI · npm · license), quickstart, and links into `INDEX.md`.

## Implementation Notes
- Use `gh repo create roshangautam/genie --private` (per
  INDEX.md §Source-of-truth — repo is **private, to be created**; any future
  visibility change is a separate decision).
- Pull templates from `github.com/github/docs` or
  `github.com/anthropics/skills` for COC.
- Do NOT enable `Discussions` yet — pre-launch noise.

## Out of Scope
- Repo settings beyond branch protection (covered by M0-04).
- npm package reservation (covered by M0-04).

## Dependencies
- Blocks: every issue that needs to PR into the repo.
- Blocked by: M0-01.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — N/A.
- [ ] Docs updated — yes, the docs themselves.
- [ ] Manual verification — `gh repo view roshangautam/genie`
      shows the new repo with all six docs present.
- [ ] No new ESLint/TS errors — N/A.
- [ ] Reviewed by 1 maintainer.","type:chore,area:ci,priority:P0-critical,size:S",M0 — Discovery & Scaffold,,Todo,Urgent,2h
"[M0-03] Bootstrap TypeScript dev environment (Node ≥22, ESM, pnpm)","## Summary
Stand up the TypeScript build pipeline: `package.json`, `tsconfig.json`
(strict, ESM), `pnpm-workspace.yaml` (server + viewer + e2e), `.editorconfig`,
`.prettierrc`, `.eslintrc.cjs` with `@typescript-eslint`, Vitest config, and a
`scripts/` directory with `dev`, `build`, `test`, `lint`, `typecheck`. After
this, a contributor can clone, `pnpm i`, and run `pnpm dev` to get an empty
MCP server on stdio.

## Context
- INDEX.md: ""Primary language: TypeScript (Node ≥ 22, ESM)"".
- Research report §7 step 1: ""Scaffold MCP server — npm init, add
  @modelcontextprotocol/sdk, fork GLips/Figma-Context-MCP for transport/CLI
  scaffolding"".

## Acceptance Criteria
- [ ] AC1 — `pnpm i` on a fresh clone succeeds on Node 22 and 24.
- [ ] AC2 — `tsconfig.json` has `""module"": ""NodeNext""`, `""strict"": true`,
      `""target"": ""ES2022""`, `""moduleResolution"": ""NodeNext""`.
- [ ] AC3 — `pnpm-workspace.yaml` lists `packages/server`, `packages/viewer`,
      `packages/e2e`.
- [ ] AC4 — `pnpm dev` boots the empty MCP server on stdio without crashing.
- [ ] AC5 — `pnpm test` runs Vitest against a placeholder
      `expect(true).toBe(true)` test and passes.
- [ ] AC6 — `pnpm lint` and `pnpm typecheck` both pass on the empty scaffold.
- [ ] AC7 — `.nvmrc` pins Node `22`.

## Implementation Notes
- Use `@modelcontextprotocol/sdk` at the latest stable.
- Crib the multi-transport bootstrap from `GLips/Figma-Context-MCP` (MIT) —
  attribute in NOTICE.md.
- Prefer `tsx` for `pnpm dev` (no compile step in dev).

## Out of Scope
- CI workflows (M0-04).
- Tool registration (M1).

## Dependencies
- Blocks: M0-04 (CI needs the build scripts).
- Blocked by: M0-02.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — placeholder test passing.
- [ ] Docs updated — README quickstart section.
- [ ] Manual verification — fresh clone + `pnpm i && pnpm dev`.
- [ ] No new ESLint/TS errors — confirmed.
- [ ] Reviewed by 1 maintainer.","type:infra,area:ci,priority:P0-critical,size:M",M0 — Discovery & Scaffold,,Todo,Urgent,5h
"[M0-04] CI scaffolding (GitHub Actions: lint, typecheck, test, build matrix)","## Summary
Ship `.github/workflows/ci.yml` that runs lint + typecheck + unit tests on
every PR across Node 22/24 on Ubuntu/macOS. Add `release-please` (or
Changesets) to manage versioning automatically. Reserve the npm package name
`genie`.

## Context
- INDEX.md: distribution = npm + `.mcpb` + Docker.
- Research report §7 step 11 needs a smoke-test workflow; this issue stops
  short of that — we only ship plumbing.

## Acceptance Criteria
- [ ] AC1 — `.github/workflows/ci.yml` runs on `push` + `pull_request`, jobs:
      `lint`, `typecheck`, `test`, `build` — matrix `{ node: [22, 24], os:
      [ubuntu-latest, macos-latest] }`.
- [ ] AC2 — Cache `~/.pnpm-store` keyed on `pnpm-lock.yaml`.
- [ ] AC3 — Build job produces `packages/server/dist/` and uploads as an
      artefact named `server-dist-${{ matrix.node }}-${{ matrix.os }}`.
- [ ] AC4 — `release-please` (or Changesets) PR is opened by the bot whenever
      Conventional Commits land on `main`.
- [ ] AC5 — npm name `genie` is registered (publish empty
      0.0.0-placeholder). **If `genie` is taken** (unverified at issue-write time
      — `npm view genie` was blocked by a sandbox cert error), fall back in order:
      `@genie/server` (scoped) → `genie`. Record the chosen name in `CLAUDE.md`
      and reconcile any docs that assumed bare `genie`.
- [ ] AC6 — Branch protection requires `lint`, `typecheck`, `test`, `build`
      checks before merge.

## Implementation Notes
- Use `pnpm/action-setup@v3` for pnpm install.
- Run `pnpm exec vitest run --reporter=verbose --coverage`.
- Coverage gates are deferred to M6 — for now just publish the report as an
  artefact.

## Out of Scope
- E2E harness tests (M5).
- Docker / `.mcpb` publish (M5).

## Dependencies
- Blocks: every PR that needs CI green.
- Blocked by: M0-03.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — verify by opening a no-op PR and watching CI.
- [ ] Docs updated — CONTRIBUTING references CI status.
- [ ] Manual verification — green CI on M0-03 follow-up PR.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:infra,area:ci,priority:P0-critical,size:M",M0 — Discovery & Scaffold,,Todo,Urgent,5h
[M1-01] Storage abstraction (local FS + git-host adapters),"## Summary
Define store interfaces for kits and projects, and ship two adapters:
`LocalFsStore` (solo dev — a kit/project is a directory) and `GitHostStore`
(shared — a kit/project is a git-tracked tree, a `planId` is a branch,
`write_files` is commit, merge is publish). The git-host
adapter targets **any git host** (GitHub / Gitea / GitLab) via its HTTP API;
Gitea is the reference instance we test against. All M1 tools (M1-02 … M1-21)
are implemented against this interface, not against `fs` directly.

## Context
- D-G (`00-decisions.md`): genie writes to a **git-tracked tree** on any git
  host, swappable; local FS for solo. A kit is a repo, a `planId` becomes a
  branch, `plan` opens a PR (full fidelity when genie owns the repo),
  `write_files` commits, merge = atomic publish.
- The reference shared deployment runs Gitea, but no git host is privileged in
  the abstraction and no provider URL is baked into the code.

## Acceptance Criteria
- [ ] AC1 — `interface KitStore` defines: `listKits`, `getKit`,
      `listFiles`, `readFile(path, maxBytes)`, `createKit`,
      `openPlan(writes, deletes, localDir) → planId`,
      `commitPlan(planId, fileOps)`, `closePlan(planId)`.
- [ ] AC2 — `interface ProjectStore` defines: `listProjects`, `getProject`,
      `createProject`, `deleteProject`, `bindKit`, `recordScreen`.
- [ ] AC3 — `LocalFsStore` stores kits under
      `${GENIE_HOME ?? ~/.genie}/kits/<kitId>/` and treats
      each plan as a temp staging directory; projects live under
      `${GENIE_HOME ?? ~/.genie}/projects/<projectId>/`.
- [ ] AC4 — `GitHostStore` uses a git-host SDK against an operator-configured
      base URL, plan = branch `plan/${planId}`, commit on `commitPlan`, no
      auto-merge.
- [ ] AC5 — Both adapters pass the same conformance test suite
      (`packages/server/test/store-conformance.test.ts`).
- [ ] AC6 — `GitHostStore` honours its token from env (`GENIE_GIT_TOKEN`),
      fails fast with a clear error if missing.
- [ ] AC7 — `readFile` enforces the 256 KiB cap and throws
      `FileTooLargeError` with the actual size in the message.

## Implementation Notes
- File: `packages/server/src/store/{interface.ts,local.ts,git-host.ts}`.
- Test fixtures: `packages/server/test/fixtures/sample-kit/` (≈10 components).
- Git-host base URL + token are env-configured; nothing hardcoded. Gitea is the
  reference instance for CI/manual testing.

## Out of Scope
- S3 / Postgres backends (out of scope for v1).
- Kit sharing / ACLs (the user owns every kit they touch in v1).

## Dependencies
- Blocks: M1-02 … M1-21.
- Blocked by: M0-04.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — conformance suite ≥ 90 % branch coverage on both adapters.
- [ ] Docs updated — `docs/plan/04-tech-design-rfc.md` §3.3 cross-link.
- [ ] Manual verification — `pnpm dev` against a real git host creates,
      reads, lists kits end-to-end.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-server,area:storage,priority:P0-critical,size:L",M1 — Kit + Project Foundation,,Todo,Urgent,12h
[M1-02] Tool: list_kits,"## Summary
Implement `list_kits` MCP tool — returns the user's writable UI kits.
Filters to UI kits (genie's own kit type; the interop adapter maps
this to Anthropic's `PROJECT_TYPE_DESIGN_SYSTEM` when round-tripping).

## Context
- Research report §3.1 tool surface:
  `list_kits(): { id, name, owner, updatedAt, canEdit }[]`.
- Research report §1.4 confirmed claim: ""list_kits — lists writable
  Claude Design projects (filtered to `type: PROJECT_TYPE_DESIGN_SYSTEM`)"".

## Acceptance Criteria
- [ ] AC1 — Tool name is `mcp__genie__list_kits` (Claude rewrite
      rule applied).
- [ ] AC2 — Description ≤ 2 KB (Claude truncation limit).
- [ ] AC3 — JSON Schema is Draft 7 only — no `anyOf` / `$ref` chains.
- [ ] AC4 — Returns an array of
      `{ id: string, name: string, owner: string, updatedAt: string (ISO 8601),
      canEdit: boolean }`.
- [ ] AC5 — Filters out records whose stored `type !== ""GENIE_KIT""`;
      interop adapters map Anthropic's project type separately.
- [ ] AC6 — Returns `[]` (not `null`, not error) when the user has no
      kits.
- [ ] AC7 — Backed by `KitStore.listKits()`.

## Implementation Notes
- File: `packages/server/src/tools/list_kits.ts`.
- Register in `packages/server/src/tools/index.ts`.
- Description template from research report §3.1 — copy verbatim where ≤ 2 KB.

## Out of Scope
- Pagination (v1 returns all; revisit in v2 if any user crosses 100 kits).
- Search/filter (v1 client-side only).

## Dependencies
- Blocks: M1-03 (clients call `list_kits` to discover IDs).
- Blocked by: M1-01.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — unit (mocked store) + integration (real LocalFsStore).
- [ ] Docs updated — `docs/04-tech-design-rfc.md` §3.1 tool list.
- [ ] Manual verification — call from `npx @modelcontextprotocol/inspector`.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-tools,priority:P0-critical,size:S",M1 — Kit + Project Foundation,,Todo,Urgent,3h
[M1-03] Tool: get_kit,"## Summary
Implement `get_kit` — returns metadata for a single project; confirms the
`kitId` actually resolves to a UI kit (or to a mapped Claude Design project in interop mode).

## Context
- Research report §3.1: `get_kit({ kitId }): { id, name, type:
  ""GENIE_KIT"", canEdit }`.

## Acceptance Criteria
- [ ] AC1 — Tool name `mcp__genie__get_kit`.
- [ ] AC2 — Input schema: `{ kitId: string }` (required).
- [ ] AC3 — Returns `{ id, name, type, canEdit, createdAt, updatedAt }` with
      `type` literal `""GENIE_KIT""`.
- [ ] AC4 — Returns `ProjectNotFoundError` MCP error code `-32602` on unknown
      `kitId`.
- [ ] AC5 — Returns `WrongProjectTypeError` if the project exists but is not a
      UI kit (defensive — `LocalFsStore` only stores UI kits,
      but `GitHostStore` shares the namespace with the user's other repos).

## Implementation Notes
- File: `packages/server/src/tools/get_kit.ts`.
- Reuse `KitStore.getKit()`.

## Out of Scope
- Editing project metadata (no DesignSync verb for this).

## Dependencies
- Blocks: M1-04, M1-05, M1-06 (need to verify `kitId` before any other op).
- Blocked by: M1-01.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — happy path + both error paths.
- [ ] Docs updated.
- [ ] Manual verification via MCP inspector.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-tools,priority:P0-critical,size:S",M1 — Kit + Project Foundation,,Todo,Urgent,2h
[M1-04] Tool: list_files,"## Summary
Implement `list_files` — returns the project's file tree with size, hash, and
mtime. Used by clients to detect empty vs non-empty projects (drives ""atomic
vs incremental"" upload path) and to confirm post-upload counts.

## Context
- Research report §3.1: `list_files({ kitId }): { path, size, hash,
  lastModified }[]`.
- Research report §1.4 confirmed claim: ""list_files — used to detect empty vs
  non-empty projects (which drives 'atomic' vs 'incremental' upload path) and
  to confirm post-upload counts"".

## Acceptance Criteria
- [ ] AC1 — Tool name `mcp__genie__list_files`.
- [ ] AC2 — Input: `{ kitId: string }`.
- [ ] AC3 — Returns array of
      `{ path: string, size: number, hash: string (""sha256-...""),
      lastModified: string }`.
- [ ] AC4 — Paths are forward-slash-delimited and project-root-relative
      (never absolute).
- [ ] AC5 — `hash` uses SHA-256 of file bytes, base64-encoded, prefixed
      `sha256-` (matches Subresource Integrity format).
- [ ] AC6 — Hidden files (dot-prefixed) are included — `.genie/recompile`
      and `.genie/sync.json` must show up.
- [ ] AC7 — `node_modules`, `.git`, and `dist` are excluded (configurable via
      `.genieignore`).

## Implementation Notes
- File: `packages/server/src/tools/list_files.ts`.
- Hash computation is expensive — for `GitHostStore`, reuse git's blob SHA
  (translate `sha1-...` → `sha256-` via lookup if needed, or document the
  difference).

## Out of Scope
- Glob filtering on input (the schema is just `kitId`).
- Diff against a previous snapshot (that's `validate`).

## Dependencies
- Blocks: M1-05 (needs to know what files exist before reading them).
- Blocked by: M1-01.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — empty project, non-empty project, ignore-pattern matching.
- [ ] Docs updated.
- [ ] Manual verification via MCP inspector.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-tools,priority:P0-critical,size:S",M1 — Kit + Project Foundation,,Todo,Urgent,3h
[M1-05] Tool: read_file (with 256 KiB cap),"## Summary
Implement `read_file` — returns the content of a single file. Hard-capped at
256 KiB per DesignSync's contract. The skill only ever uses it to fetch
`.genie/sync.json` as the verification anchor, but the verb must be general.

## Context
- Research report §3.1: `read_file({ kitId, path }): { content: string }
  // 256 KiB cap`.
- Research report §1.4 confirmed claim: ""read_file — capped at 256 KiB; the
  skill only ever uses it to fetch `.genie/sync.json` as the verification
  anchor"".

## Acceptance Criteria
- [ ] AC1 — Tool name `mcp__genie__read_file`.
- [ ] AC2 — Input: `{ kitId: string, path: string }`.
- [ ] AC3 — Returns `{ content: string, encoding: ""utf-8"" | ""base64"",
      mimeType: string }`.
- [ ] AC4 — Files > 256 KiB return MCP error `-32603` with message
      `""File exceeds 256 KiB cap (actual: <N> bytes)""`.
- [ ] AC5 — Binary files (per content-type detection) are returned as base64.
- [ ] AC6 — Path traversal (`../` segments) raises
      `InvalidPathError` and rejects the call.
- [ ] AC7 — Unknown path returns MCP error `-32602`.

## Implementation Notes
- File: `packages/server/src/tools/read_file.ts`.
- MIME detection via `mime-types` package.
- Path traversal check: normalise + assert prefix matches project root.

## Out of Scope
- Range requests (no DesignSync verb supports this).
- Server-side decompression (file is returned as-stored).

## Dependencies
- Blocks: M3-04 (anchor read).
- Blocked by: M1-01.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — small file, exactly 256 KiB, over cap, binary, path
      traversal.
- [ ] Docs updated.
- [ ] Manual verification via MCP inspector.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-tools,priority:P0-critical,size:S",M1 — Kit + Project Foundation,,Todo,Urgent,3h
[M1-06] Tool: create_kit,"## Summary
Implement `create_kit` — creates a new UI kit owned by the
caller; returns the `kitId` that `plan` will lock against. This
is the first permission-prompted verb in the protocol.

## Context
- Research report §3.1: `create_kit({ name }): { kitId }`.
- Research report §1.4 confirmed claim: ""create_kit — creates a new
  UI kit owned by the user; returns the kitId to finalize
  against"".

## Acceptance Criteria
- [ ] AC1 — Tool name `mcp__genie__create_kit`.
- [ ] AC2 — Input: `{ name: string }` (required); the name is the
      human-readable display name, not the ID.
- [ ] AC3 — Output: `{ kitId: string }`.
- [ ] AC4 — `kitId` is a slug derived from `name` (lowercase, hyphens,
      ASCII only) plus a 6-char random suffix to dedupe.
- [ ] AC5 — Stamps `type: ""GENIE_KIT""` immutably.
- [ ] AC6 — On `LocalFsStore`, creates the directory tree
      `${GENIE_HOME}/kits/<kitId>/`.
- [ ] AC7 — On `GitHostStore`, creates a new repo named `<kitId>`
      under the configured org/owner with `private: true` by default.
- [ ] AC8 — Returns `KitAlreadyExistsError` on collision (should be
      impossible with the random suffix, but defensive).

## Implementation Notes
- File: `packages/server/src/tools/create_kit.ts`.
- Name validation: max 64 chars, must match `[A-Za-z0-9 _-]+`.

## Out of Scope
- Importing an existing local directory as a kit (separate `import`
  verb not in the v1 surface).
- Kit deletion (no DesignSync verb).

## Dependencies
- Blocks: M1-07 (need `kitId` before plan).
- Blocked by: M1-01.

## Agent Workflow

**Follow the full SDLC in [`AGENTS.md`](../../../AGENTS.md)** (repo root): orient →
plan-on-issue → TDD (failing test first) → test against the local live service →
adversarial self-review → open PR → peer-AI review loop (iterate until zero open comments
+ explicit approval) → merge → monitor CI → follow-up PR if CI breaks, else close.

Do not merge with open review comments. Do not leave `main` red. The issue closes only
when the PR is merged, the reviewer approved, CI is green, and every AC has evidence.

## Definition of Done
- [ ] Tests added — happy path, collision, invalid name.
- [ ] Docs updated.
- [ ] Manual verification via MCP inspector on both adapters.
- [ ] No new ESLint/TS errors.
- [ ] Reviewed by 1 maintainer.","type:feature,area:mcp-tools,priority:P0-critical,size:S",M1 — Kit + Project Foundation,,Todo,Urgent,3h
